app_name,platform,date,user_name,rating,review_content
gojek,Google Play,2025-06-07 10:08:11,Pengguna Google,1,driver kelamaan
gojek,Google Play,2025-06-07 10:07:27,Pengguna Google,5,top
gojek,Google Play,2025-06-07 10:07:14,Pengguna Google,1,gmn ini? udah bayar tgihan tp masih muncul tgihannya.
gojek,Google Play,2025-06-07 10:00:07,Pengguna Google,5,puas banget
gojek,Google Play,2025-06-07 09:55:00,Pengguna Google,5,lumayan puas
gojek,Google Play,2025-06-07 09:42:50,Pengguna Google,5,"beli paket data sudah pembayaran, tapi status menunggu. datanya juga sampai sekarang gak masuk masuk. kecewa"
gojek,Google Play,2025-06-07 09:33:07,Pengguna Google,5,"membantu,tapi sayang masih banyak driver² yang pilih²"
gojek,Google Play,2025-06-07 09:29:24,Pengguna Google,5,aplikasi yg sangat membantu untuk kehidupan sehari-hari
gojek,Google Play,2025-06-07 09:27:35,Pengguna Google,5,aplikasinya bagus
gojek,Google Play,2025-06-07 09:26:11,Pengguna Google,5,good aps
gojek,Google Play,2025-06-07 09:09:49,Pengguna Google,5,"aplikasi ini sangat terpercaya, dan mudah untuk digunakan dalam proses transaksi."
gojek,Google Play,2025-06-07 09:04:07,Pengguna Google,1,"rumit, mau masuk aja susah. udah verifikasi hp,wajah gak bisa. lah ini muka saya gak ganti, udah 3 bulan masih begini 🙃"
gojek,Google Play,2025-06-07 08:58:35,Pengguna Google,1,saldo saya terpotong untuk apa yah. dak jelas.
gojek,Google Play,2025-06-07 08:52:16,Pengguna Google,1,"saya sudah lama menggunakan gojek tapi kenapa saat saya isi saldo 500 ribu, saldo saya di freeze dan muncul tulisan ""Gak bisa melanjutkan transaksi ini"" saat saya ingin membayar dengan scan QR?, saya perlu cepat tetapi seperti ini pelayanan gojek kepada costumer nya?"
gojek,Google Play,2025-06-07 08:47:26,Pengguna Google,1,sudah tidak wort it
gojek,Google Play,2025-06-07 08:46:18,Pengguna Google,5,baguss
gojek,Google Play,2025-06-07 08:41:21,Pengguna Google,5,top
gojek,Google Play,2025-06-07 08:09:42,Pengguna Google,5,sangat membantu..!
gojek,Google Play,2025-06-07 08:04:28,Pengguna Google,5,nice
gojek,Google Play,2025-06-07 08:00:45,Pengguna Google,2,kecewa bgt sama gojek karena ada oknum yg bawa kabur paket saya
gojek,Google Play,2025-06-07 07:47:14,Pengguna Google,5,perbarui supaya uptodate ngak lemot😄
gojek,Google Play,2025-06-07 07:38:59,Pengguna Google,5,mantap
gojek,Google Play,2025-06-07 07:36:01,Pengguna Google,5,ok
gojek,Google Play,2025-06-07 07:35:46,Pengguna Google,5,Aplikasinya bagus.
gojek,Google Play,2025-06-07 07:07:10,Pengguna Google,5,good
gojek,Google Play,2025-06-07 07:04:42,Pengguna Google,4,"oke, memuaskan.."
gojek,Google Play,2025-06-07 06:52:01,Pengguna Google,5,bagus sekali
gojek,Google Play,2025-06-07 06:05:06,Pengguna Google,5,mantap
gojek,Google Play,2025-06-07 05:50:53,Pengguna Google,5,Amazing
gojek,Google Play,2025-06-07 05:34:28,Pengguna Google,5,no complaints
gojek,Google Play,2025-06-07 05:17:49,Pengguna Google,5,Sangat puas dengan transportasi gojek
gojek,Google Play,2025-06-07 05:09:04,Pengguna Google,5,Pelayanan cepat tapi agak mahalan dikit
gojek,Google Play,2025-06-07 04:28:22,Pengguna Google,5,bermanfaat sekali
gojek,Google Play,2025-06-07 04:27:36,Pengguna Google,3,aduuuh kenapa sih posisi drivernya ke gerak gerak mulu udah ditungguin loh masih aja disitu
gojek,Google Play,2025-06-07 03:39:46,Pengguna Google,5,mudah dan aman
